15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.493670 [  3] 0.7199-0.7249 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2867 pps
15:53:43.513961 [  3] 0.7249-0.7299 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3261 pps
15:53:43.514013 [  3] 0.7299-0.7349 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3478 pps
15:53:43.514021 [  3] 0.7349-0.7399 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3261 pps
15:53:43.514029 [  3] 0.7399-0.7449 sec  1.56 KBytes  2.56 Mbits/sec  8/0      916 pps
15:53:43.534258 [  3] 0.7449-0.7499 sec   400 Bytes   640 Kbits/sec  2/0     2002 pps
15:53:43.534338 [  3] 0.7499-0.7548 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3148 pps
15:53:43.534351 [  3] 0.7548-0.7598 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3658 pps
15:53:43.534361 [  3] 0.7598-0.7648 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2897 pps
15:53:43.554379 [  3] 0.7648-0.7698 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3597 pps
15:53:43.554457 [  3] 0.7698-0.7748 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3357 pps
15:53:43.554470 [  3] 0.7748-0.7798 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3293 pps
15:53:43.554478 [  3] 0.7798-0.7848 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3263 pps
15:53:43.574559 [  3] 0.7848-0.7898 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3199 pps
15:53:43.574772 [  3] 0.7898-0.7948 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3188 pps
15:53:43.574805 [  3] 0.7948-0.7998 sec  2.73 KBytes  4.48 Mbits/sec  14/0     3074 pps
15:53:43.574822 [  3] 0.7998-0.8048 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3275 pps
15:53:43.594616 [  3] 0.8048-0.8098 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3125 pps
15:53:43.594680 [  3] 0.8098-0.8148 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3814 pps
15:53:43.594706 [  3] 0.8148-0.8198 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2905 pps
15:53:43.594715 [  3] 0.8198-0.8248 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3579 pps
15:53:43.594722 [  3] 0.8248-0.8298 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3067 pps
15:53:43.615275 [  3] 0.8298-0.8348 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3288 pps
15:53:43.615360 [  3] 0.8348-0.8398 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3289 pps
15:53:43.615372 [  3] 0.8398-0.8448 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3557 pps
15:53:43.615380 [  3] 0.8448-0.8498 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2831 pps
15:53:43.635534 [  3] 0.8498-0.8548 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3491 pps
15:53:43.635751 [  3] 0.8548-0.8598 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3271 pps
