16:35:16.681468 ------------------------------------------------------------
16:35:16.681574 Client connecting to 10.0.1.24, TCP port 5001 with pid 142514
16:35:16.681587 Binding to local address 10.60.0.1
16:35:16.681596 Write buffer size:  200 Byte
16:35:16.681604 TCP window size: 85.0 KByte (default)
16:35:16.681611 ------------------------------------------------------------
16:35:16.681619 [  3] local 10.60.0.1 port 45481 connected with 10.0.1.24 port 5001 (ct=2127.68 ms)
16:35:16.681627 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:35:17.366595 [  3] 0.6749-0.6799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17289 us  37.03
16:35:17.366606 [  3] 0.6799-0.6849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17289 us  37.03
16:35:17.366614 [  3] 0.6849-0.6899 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17289 us  39.34
16:35:17.366622 [  3] 0.6899-0.6949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17289 us  37.03
16:35:17.387638 [  3] 0.6949-0.6999 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17289 us  39.34
16:35:17.387710 [  3] 0.6999-0.7049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17872 us  35.82
16:35:17.387721 [  3] 0.7049-0.7099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17872 us  35.82
16:35:17.387740 [  3] 0.7099-0.7149 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17872 us  38.06
16:35:17.408246 [  3] 0.7149-0.7199 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17872 us  35.82
16:35:17.408324 [  3] 0.7199-0.7249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17659 us  36.25
16:35:17.408334 [  3] 0.7249-0.7299 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17659 us  38.51
16:35:17.408344 [  3] 0.7299-0.7349 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17659 us  36.25
16:35:17.429361 [  3] 0.7349-0.7399 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17659 us  38.51
16:35:17.429435 [  3] 0.7399-0.7449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17186 us  37.25
16:35:17.429460 [  3] 0.7449-0.7499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17186 us  37.25
16:35:17.429471 [  3] 0.7499-0.7548 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17186 us  39.58
16:35:17.449722 [  3] 0.7548-0.7598 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17186 us  37.25
16:35:17.449786 [  3] 0.7598-0.7648 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17442 us  36.70
16:35:17.449797 [  3] 0.7648-0.7698 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17442 us  38.99
16:35:17.449805 [  3] 0.7698-0.7748 sec  2.93 KBytes  4.80 Mbits/sec  15/0          0       38K/17442 us  34.41
16:35:17.470910 [  3] 0.7748-0.7798 sec  3.52 KBytes  5.76 Mbits/sec  18/0          0       38K/17442 us  41.29
16:35:17.470984 [  3] 0.7798-0.7848 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/18129 us  35.31
16:35:17.470996 [  3] 0.7848-0.7898 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/18129 us  35.31
16:35:17.471004 [  3] 0.7898-0.7948 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/18129 us  37.52
16:35:17.491195 [  3] 0.7948-0.7998 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/18129 us  35.31
16:35:17.491308 [  3] 0.7998-0.8048 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/18145 us  37.48
16:35:17.491318 [  3] 0.8048-0.8098 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/18145 us  35.28
16:35:17.491326 [  3] 0.8098-0.8148 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/18145 us  35.28
16:35:17.491334 [  3] 0.8148-0.8198 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/18145 us  37.48
16:35:17.512071 [  3] 0.8198-0.8248 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17511 us  36.56
16:35:17.512141 [  3] 0.8248-0.8298 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17511 us  36.56
16:35:17.512152 [  3] 0.8298-0.8348 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17511 us  38.84
16:35:17.512160 [  3] 0.8348-0.8398 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17511 us  36.56
16:35:17.532528 [  3] 0.8398-0.8448 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17511 us  38.84
16:35:17.532592 [  3] 0.8448-0.8498 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17637 us  36.29
16:35:17.532602 [  3] 0.8498-0.8548 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17637 us  36.29
16:35:17.532610 [  3] 0.8548-0.8598 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17637 us  38.56
16:35:17.553038 [  3] 0.8598-0.8648 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17637 us  36.29
16:35:17.553139 [  3] 0.8648-0.8698 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17274 us  37.06
16:35:17.553152 [  3] 0.8698-0.8748 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17274 us  39.37
16:35:17.553160 [  3] 0.8748-0.8798 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17274 us  37.06
16:35:17.574403 [  3] 0.8798-0.8848 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17274 us  39.37
16:35:17.574487 [  3] 0.8848-0.8898 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17362 us  36.87
16:35:17.574511 [  3] 0.8898-0.8948 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17362 us  36.87
16:35:17.574520 [  3] 0.8948-0.8998 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17362 us  39.17
16:35:17.594780 [  3] 0.8998-0.9048 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17362 us  36.87
16:35:17.594959 [  3] 0.9048-0.9098 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/16861 us  37.97
16:35:17.594976 [  3] 0.9098-0.9148 sec  1.17 KBytes  1.92 Mbits/sec  6/0          0       38K/16861 us  14.24
16:35:17.594984 [  3] 0.9148-0.9198 sec  0.00 Bytes  0.00 bits/sec  0/0          0       38K/16861 us  0.00
16:35:17.615158 [  3] 0.9198-0.9248 sec  8.59 KBytes  14.1 Mbits/sec  44/0          0       38K/16861 us  104.40
16:35:17.615238 [  3] 0.9248-0.9298 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/16867 us  37.95
16:35:17.615248 [  3] 0.9298-0.9348 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/16867 us  37.95
16:35:17.615256 [  3] 0.9348-0.9398 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/16867 us  40.32
16:35:17.635349 [  3] 0.9398-0.9448 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/16867 us  37.95
16:35:17.635427 [  3] 0.9448-0.9498 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17301 us  39.31
16:35:17.635437 [  3] 0.9498-0.9548 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17301 us  37.00
