------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.5199-0.5249 sec  5.66 KBytes  9.28 Mbits/sec   0.377 ms    0/   29 (0%)  9.382/ 6.857/12.219/ 1.633 ms 7519 pps  123.66
[  3] 0.5249-0.5299 sec  3.32 KBytes  5.44 Mbits/sec   0.341 ms    0/   17 (0%)  7.716/ 6.712/ 8.199/ 0.448 ms 3054 pps  88.15
[  3] 0.5299-0.5349 sec  3.12 KBytes  5.12 Mbits/sec   0.257 ms    0/   16 (0%)  7.815/ 6.944/ 7.859/ 0.354 ms 3571 pps  81.91
[  3] 0.5349-0.5399 sec  3.32 KBytes  5.44 Mbits/sec   0.229 ms    0/   17 (0%)  7.955/ 6.972/ 8.020/ 0.389 ms 2978 pps  85.50
[  3] 0.5399-0.5449 sec  2.73 KBytes  4.48 Mbits/sec   0.265 ms    0/   14 (0%)  8.191/ 6.477/ 8.460/ 0.617 ms 3957 pps  68.38
[  3] 0.5449-0.5499 sec  2.93 KBytes  4.80 Mbits/sec   0.349 ms    0/   15 (0%)  7.985/ 6.645/ 8.254/ 0.516 ms 2508 pps  75.16
[  3] 0.5499-0.5549 sec  3.91 KBytes  6.40 Mbits/sec   0.268 ms    0/   20 (0%)  7.918/ 6.667/ 8.276/ 0.483 ms 4420 pps  101.05
[  3] 0.5549-0.5599 sec  2.73 KBytes  4.48 Mbits/sec   0.259 ms    0/   14 (0%)  8.149/ 6.910/ 8.469/ 0.459 ms 2874 pps  68.73
[  3] 0.5599-0.5649 sec  3.12 KBytes  5.12 Mbits/sec   0.323 ms    0/   16 (0%)  7.932/ 6.929/ 8.127/ 0.458 ms 3269 pps  80.70
[  3] 0.5649-0.5699 sec  2.73 KBytes  4.48 Mbits/sec   0.436 ms    0/   14 (0%)  8.307/ 6.363/ 8.879/ 0.865 ms 2408 pps  67.43
[  3] 0.5699-0.5749 sec  4.30 KBytes  7.04 Mbits/sec   0.238 ms    0/   22 (0%)  7.919/ 6.752/ 8.909/ 0.639 ms 4514 pps  111.15
[  3] 0.5749-0.5799 sec  3.12 KBytes  5.12 Mbits/sec   0.300 ms    0/   16 (0%)  7.698/ 6.394/ 8.107/ 0.553 ms 3596 pps  83.15
[  3] 0.5799-0.5849 sec  2.73 KBytes  4.48 Mbits/sec   0.449 ms    0/   14 (0%)  8.611/ 6.688/ 9.719/ 1.109 ms 2000 pps  65.04
[  3] 0.5849-0.5899 sec  2.34 KBytes  3.84 Mbits/sec   0.429 ms    0/   12 (0%)  9.080/ 7.397/ 9.864/ 0.648 ms 2908 pps  52.88
[  3] 0.5899-0.5949 sec  3.12 KBytes  5.12 Mbits/sec   0.476 ms    0/   16 (0%)  8.917/ 7.235/10.396/ 1.041 ms 3285 pps  71.79
[  3] 0.5949-0.5999 sec  2.73 KBytes  4.48 Mbits/sec   0.491 ms    0/   14 (0%)  9.185/ 6.684/10.396/ 1.130 ms 3471 pps  60.98
