20:55:01.998425 Connecting to host 10.0.1.24, port 5201
20:55:01.998547 [  5] local 10.60.0.1 port 56145 connected to 10.0.1.24 port 5201
20:55:01.998560 [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
20:55:24.998375 [  5]  23.00-23.10  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:25.098348 [  5]  23.10-23.20  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:25.198296 [  5]  23.20-23.30  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
20:55:25.298561 [  5]  23.30-23.40  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:25.398381 [  5]  23.40-23.50  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
20:55:25.500397 [  5]  23.50-23.60  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:25.599796 [  5]  23.60-23.70  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
20:55:25.699391 [  5]  23.70-23.80  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:25.801216 [  5]  23.80-23.90  sec   128 KBytes  10.3 Mbits/sec    0    130 KBytes       
20:55:25.900772 [  5]  23.90-24.00  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:25.998473 [  5]  24.00-24.10  sec   128 KBytes  10.7 Mbits/sec    0    127 KBytes       
20:55:26.098485 [  5]  24.10-24.20  sec  0.00 Bytes  0.00 bits/sec    0    127 KBytes       
20:55:26.199153 [  5]  24.20-24.30  sec   128 KBytes  10.4 Mbits/sec    0    134 KBytes       
20:55:26.298888 [  5]  24.30-24.40  sec  0.00 Bytes  0.00 bits/sec    0    134 KBytes       
20:55:26.398848 [  5]  24.40-24.50  sec   128 KBytes  10.5 Mbits/sec    0    134 KBytes       
